Type;Type.MemberType;Type.Namespace;Type.AssemblyQualifiedName;Type.FullName;Type.Assembly;Type.Module;Type.IsInterface;Type.IsNested;Type.DeclaringType;Type.DeclaringMethod;Type.ReflectedType;Type.UnderlyingSystemType;Type.IsTypeDefinition;Type.IsArray;Type.IsByRef;Type.IsPointer;Type.IsConstructedGenericType;Type.IsGenericParameter;Type.IsGenericTypeParameter;Type.IsGenericMethodParameter;Type.IsGenericType;Type.IsGenericTypeDefinition;Type.IsSZArray;Type.IsVariableBoundArray;Type.IsByRefLike;Type.IsFunctionPointer;Type.IsUnmanagedFunctionPointer;Type.HasElementType;Type.GenericTypeArguments;Type.GenericParameterPosition;Type.GenericParameterAttributes;Type.Attributes;Type.IsAbstract;Type.IsImport;Type.IsSealed;Type.IsSpecialName;Type.IsClass;Type.IsNestedAssembly;Type.IsNestedFamANDAssem;Type.IsNestedFamily;Type.IsNestedFamORAssem;Type.IsNestedPrivate;Type.IsNestedPublic;Type.IsNotPublic;Type.IsPublic;Type.IsAutoLayout;Type.IsExplicitLayout;Type.IsLayoutSequential;Type.IsAnsiClass;Type.IsAutoClass;Type.IsUnicodeClass;Type.IsCOMObject;Type.IsContextful;Type.IsEnum;Type.IsMarshalByRef;Type.IsPrimitive;Type.IsValueType;Type.IsSignatureType;Type.IsSecurityCritical;Type.IsSecuritySafeCritical;Type.IsSecurityTransparent;Type.StructLayoutAttribute;Type.TypeInitializer;Type.TypeHandle;Type.GUID;Type.BaseType;Type.IsSerializable;Type.ContainsGenericParameters;Type.IsVisible;Type.Name;Type.CustomAttributes;Type.IsCollectible;Type.MetadataToken
Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;feeeae47-2336-3c40-b349-bc2041700643;System.Object;False;False;True;DictionaryDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555033
Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;bfb5a43d-46cc-3388-a501-59efbc9491ff;System.Object;False;False;False;LanguageDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555043
Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;2ccfce78-aaf0-33d1-992f-e8a22c30a067;System.Object;False;False;True;LanguageTextDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555044
Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;80f5850f-b172-318f-9a87-b3d261a9f13f;System.Object;False;False;False;DomainDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555039
Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;71d6ea2d-f029-35a0-92eb-1de17c2114cd;System.Object;False;False;False;LogDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555047
Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;1a6ec38b-ba0d-335d-ab0f-bfbfb612b7cb;System.Object;False;False;False;MemberPropertyTypeDto;"[[NPoco.TableNameAttribute(""cmsMemberType"")], [NPoco.PrimaryKeyAttribute(""pk"")], [NPoco.ExplicitColumnsAttribute()]]";False;33555054
Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;180ddab0-9335-3283-a806-30b04c2aa045;System.Object;False;False;False;MemberDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555053
Umbraco.Cms.Infrastructure.Persistence.Dtos.Member2MemberGroupDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.Member2MemberGroupDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.Member2MemberGroupDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.Member2MemberGroupDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;aebc3379-c1fc-334a-bfa2-fd77b712bb16;System.Object;False;False;False;Member2MemberGroupDto;"[[NPoco.TableNameAttribute(""cmsMember2MemberGroup"")], [NPoco.PrimaryKeyAttribute(""Member"", AutoIncrement = False)]...]";False;33555052
Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeGroupDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeGroupDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeGroupDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeGroupDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;e9b9f43e-9d6b-3649-b75b-4f15cc6d3194;System.Object;False;False;False;PropertyTypeGroupDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555060
Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.PropertyTypeDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";BeforeFieldInit;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;87c63114-0c13-3799-bbef-bc1624d5a0c3;System.Object;False;False;False;PropertyTypeDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555059
